writer,score,data,product_name,headline,content,url,rank,search_keyword
김*희 ,1,2020.06.29,"곰곰 맛있는 보조개 알뜰사과, 2.5kg, 1봉",별루.,"별 하나도 아깝죠.
아무리 흡집난 사과라도 너무 멍들고 잘라보니 갈색이라 통채로 버린게 몇개인지. 사과는 푸석푸석. 오래된.늙은사과.
그닥 권유하고싶지않습니다.
돈 더주더라도 맛있고 건강한 사과드세요",https://www.coupang.com/vp/products/1639256695?itemId=2795492984&vendorItemId=70785141324,1,사과
Lsw ,1,2020.06.26,"곰곰 맛있는 보조개 알뜰사과, 2.5kg, 1봉",,"쥬스용으로 구매 했어요
곰곰이기도 해서 믿고.
푸석하고 정말 맛이 없어요.
쥬스에 넣어도 사과맛은 하나도
나지도 않아요.
어쩔 수 없어서 그냥 쥬스용으로
먹어요. 두번다시 구매 안합니다.
요즘 곰곰 신뢰도 하락중 ㅠㅠ",https://www.coupang.com/vp/products/1639256695?itemId=2795492984&vendorItemId=70785141324,1,사과
최*진 ,1,2020.06.26,"곰곰 맛있는 보조개 알뜰사과, 2.5kg, 1봉",사지마세요~,"이건 진짜 너무하네요~ 너무 맛없어요. 안에 썩었어요. 진짜 무맛입니다. 맛이 없어요!! 잘라버려서 반품도 못하고 ㅠ.ㅠ
이건 다시는 주문안할꺼예요~",https://www.coupang.com/vp/products/1639256695?itemId=2795492984&vendorItemId=70785141324,1,사과
사댱해뉴준 ,1,2020.10.15,"곰곰 맛있는 보조개 알뜰사과, 2.5kg, 1봉",,하나하나 벌레안먹은 멀쩡한게 없고 생각보다 흠과 멍이 심했어요 맛은 많이 달지않고 껍질이 왁스 칠해진 것처럼 두껍고 썼어요. 다신 안살래요 비싸더라도 크고 좋은것 사는게 더 낫다는걸 느꼈네요,https://www.coupang.com/vp/products/1639256695?itemId=2795492984&vendorItemId=70785141324,1,사과
이*훈 ,1,2020.06.30,"곰곰 맛있는 보조개 알뜰사과, 2.5kg, 1봉",,"저번에 시킬땐 맛이 이렇게 까지 아니였는데
푸석푸석 갈아 마셔도 맛없을듯요
.. 양과 크기가 맘에 들어 주문했는데
우선 교환신청했어요
제가 운이 나빠 잘못 받았다생각하렵니다..",https://www.coupang.com/vp/products/1639256695?itemId=2795492984&vendorItemId=70785141324,1,사과
이*욱 ,1,2020.07.03,"곰곰 맛있는 보조개 알뜰사과, 2.5kg, 1봉",별한개도아까운 퀄,멍이안든사과를 찾기힘들정도로 모든 사과가 다 멍들어있고 푸석푸석함 살면서 상품평을 남기는게 인생 처음인데 잣같아서 씀 별한개도 아까움,https://www.coupang.com/vp/products/1639256695?itemId=2795492984&vendorItemId=70785141324,1,사과
김*신 ,1,2020.11.15,"곰곰 맛있는 보조개 알뜰사과, 2.5kg, 1봉",,"올해 수확한 햇사과인지 의문이 듬.
과육은 퍽퍽하고 과즙이 없고 메말랐음.
사과 표면은 멍이 많고, 속에 씨 부분도 건조하게 썩었음.
작년에 수확한 사과라면 그런가보다 할텐데, 2020년에 수확한 햇사과라기에는 너무 ' 햇' 하지 않음.",https://www.coupang.com/vp/products/1639256695?itemId=2795492984&vendorItemId=70785141324,1,사과
장*기 ,1,2020.06.24,"곰곰 맛있는 보조개 알뜰사과, 2.5kg, 1봉",,"맛있는 시기가 지났는지 최근 구매한 사과중 최악으로 맛없고 푸석푸석하고 단맛도 없고 정말 후회하는 맛입니다
이제는 그만 먹어야 되는구나 하고 있네요",https://www.coupang.com/vp/products/1639256695?itemId=2795492984&vendorItemId=70785141324,1,사과
이*랑 ,1,2020.06.29,"곰곰 맛있는 보조개 알뜰사과, 2.5kg, 1봉",,"2/3가 멍들어서 베어낸것만 엄청나네요 못난이사과가 상한부분이 많은 사과라는건 첨알았네요 재구매는안할듯
맛은잇어요",https://www.coupang.com/vp/products/1639256695?itemId=2795492984&vendorItemId=70785141324,1,사과
김*화 ,1,2020.07.03,"곰곰 맛있는 보조개 알뜰사과, 2.5kg, 1봉",,"작다고 이렇게 맛없는건 아닌데...
껍질 두껍고.안은 푸석.단맛도 없구요.
영화에서 처럼 멋있게 한입 베어먹고..
버렸습니다.",https://www.coupang.com/vp/products/1639256695?itemId=2795492984&vendorItemId=70785141324,1,사과
맛있는우유 ,1,2020.10.26,"곰곰 맛있는 보조개 알뜰사과, 2.5kg, 1봉",,"겉모양이야 흠집난 사과인 것을 알고 샀지만
푸석푸석한 사과일줄이야...
갈아먹을꺼라 먹겠지만
깍아 먹을 용도였다면 반품했을꺼에요.",https://www.coupang.com/vp/products/1639256695?itemId=2795492984&vendorItemId=70785141324,1,사과
이*아 ,1,2020.10.25,"곰곰 맛있는 보조개 알뜰사과, 2.5kg, 1봉",,"정말 맛없어요 아삭함도 없고 사과를 깍아보면 멍든곳이 많아 도려내면 얼마남지도 않아요
곰곰 브랜드에 대한 실망입니다
곰곰 브랜드 믿고 후기도 보지 않고 산 저에 잘못도 있지만.ᆢ",https://www.coupang.com/vp/products/1639256695?itemId=2795492984&vendorItemId=70785141324,1,사과
김*영 ,1,2020.09.21,"곰곰 맛있는 보조개 알뜰사과, 2.5kg, 1봉",,보조개 사과는 흠은 있지만 싱싱하고 맛있는데 너무 오래된건지 퍼석하고 멍들고 다시 돌려보내고 싶어요 설마설마 하고 몇개를 깍아봐도 다똑같이 퍼석합니다 ㅠ,https://www.coupang.com/vp/products/1639256695?itemId=2795492984&vendorItemId=70785141324,1,사과
신*종 ,1,2021.04.01,"곰곰 맛있는 보조개 알뜰사과, 2.5kg, 1봉",마른사과에 전체적으로 달지않네요,"알뜰사과인줄 알고 샀지만 마른사과는 좀 심하네요
당도도.별로에요
14개들었어요",https://www.coupang.com/vp/products/1639256695?itemId=2795492984&vendorItemId=70785141324,1,사과
이*진 ,1,2021.04.29,"곰곰 맛있는 보조개 알뜰사과, 2.5kg, 1봉",,먹을만 하면 후기 안남겨요 다른 후기 참고해서 주문한건데 최악이에여 오늘 사과를 세개나 버렸어요 겉은 멀쩡한데 속이 다 누렇게 벌레가 먹고 멍이 한두군데가 아니네요 곰곰 밑고 저렴하게 먹겠다 했는데 쓰레기봉투만 가늗하고 차라리 이럴꺼면 좀 비싸도 키로수 적은거로 알차게 먹을껄ㅜㅜ 귀찮고 사진찍는거도 짜증나서 대충참았다가 다른데서 주문해서 먹을랍니다 돈 아까워요,https://www.coupang.com/vp/products/1639256695?itemId=2795492984&vendorItemId=70785141324,1,사과
박*식 ,1,2021.03.31,"곰곰 맛있는 보조개 알뜰사과, 2.5kg, 1봉",상태가.. 반품을 안한 제가 실망스러울정도로 심각하네요,"사과들이 전부 어디 한군데가 곯아 있어서
배송을 험하게 하셨나하고
그냥 도려내고 먹음 되겠지 햇는데
이건 그냥 오래되고 썩은 사과를 보냈네요
한두개도 아니고 사과 썰때마다
중심까지 썩어있네요 하...
로켓프레시로 주문한거중에 제일 최악입니다",https://www.coupang.com/vp/products/1639256695?itemId=2795492984&vendorItemId=70785141324,1,사과
이*은 ,1,2020.06.20,"곰곰 맛있는 보조개 알뜰사과, 2.5kg, 1봉",멀쩡한 사과 사드세요,별 1개도 아까움 반넘게 속까지 썩은데다 그나마 나은것은 무맛,https://www.coupang.com/vp/products/1639256695?itemId=2795492984&vendorItemId=70785141324,1,사과
류*선 ,1,2020.09.14,"곰곰 맛있는 보조개 알뜰사과, 2.5kg, 1봉",최악,"벌레자국은그렇다쳐요
그런디사과가쪼개지고 멍들고..너무한거아녜요?",https://www.coupang.com/vp/products/1639256695?itemId=2795492984&vendorItemId=70785141324,1,사과
겨울바다04 ,1,2020.09.04,"곰곰 맛있는 보조개 알뜰사과, 2.5kg, 1봉",맛은 있고 상태는 별로,사과가 온통 멍들었어요 최근.태풍이나 기상 악화 로 이해하고 그냥 먹기로 했는데 그래도 맘은 상했어요,https://www.coupang.com/vp/products/1639256695?itemId=2795492984&vendorItemId=70785141324,1,사과
이*임 ,1,2021.03.22,"곰곰 맛있는 보조개 알뜰사과, 2.5kg, 1봉",쥬스용으로 구했어요,"그런데 ᆢ모두 점이 몇개씩
점박이 사과인가요?
실망스럽습니다",https://www.coupang.com/vp/products/1639256695?itemId=2795492984&vendorItemId=70785141324,1,사과
H*l ,1,2020.06.26,"곰곰 맛있는 보조개 알뜰사과, 2.5kg, 1봉",,"사과가 먹을수없이 버석버석하고
아주 나쁜상태 입니다
속은 기분",https://www.coupang.com/vp/products/1639256695?itemId=2795492984&vendorItemId=70785141324,1,사과
진*순 ,1,2020.10.19,"곰곰 맛있는 보조개 알뜰사과, 2.5kg, 1봉",맛이없어요,맛이없어요 ㅠ 사과는 아삭하고 새콤달콤한 맛으로 먹는과일인데 푸석해요 꿀이랑우유넣고 믹서용으로 먹고있어요,https://www.coupang.com/vp/products/1639256695?itemId=2795492984&vendorItemId=70785141324,1,사과
박*애 ,1,2020.07.06,"곰곰 맛있는 보조개 알뜰사과, 2.5kg, 1봉",,퍽퍽사과 극혐인데 다 퍽퍽사과임 하..어떻게 다버릴수도 없고.....,https://www.coupang.com/vp/products/1639256695?itemId=2795492984&vendorItemId=70785141324,1,사과
윤*주 ,1,2020.10.26,"곰곰 맛있는 보조개 알뜰사과, 2.5kg, 1봉",맛없음,껍질은 두껍고 아삭하다 못해 딱딱해서 한 입 베어 먹는것도 애써야 함.,https://www.coupang.com/vp/products/1639256695?itemId=2795492984&vendorItemId=70785141324,1,사과
김*화 ,1,2020.06.23,"곰곰 맛있는 보조개 알뜰사과, 2.5kg, 1봉",,보조개사과가 아니라 썩고 쭈글해진 보관용사과네요..,https://www.coupang.com/vp/products/1639256695?itemId=2795492984&vendorItemId=70785141324,1,사과
유*이 ,1,2020.11.11,"곰곰 맛있는 보조개 알뜰사과, 2.5kg, 1봉",,"어후.. 씨 부분에 곰팡이.. 애들 먹이려는데 진짜 짜증났어요
대충 잘라서 버리고 즙내서 먹었어요
근데 맛은 있음 ㅡㅡ",https://www.coupang.com/vp/products/1639256695?itemId=2795492984&vendorItemId=70785141324,1,사과
카우카우 ,1,2020.09.28,"곰곰 맛있는 보조개 알뜰사과, 2.5kg, 1봉",이건너무하잖아요,"보조개사과가 아니라 멍사과임
마트에서 직접 봤으면 절대안샀을거임",https://www.coupang.com/vp/products/1639256695?itemId=2795492984&vendorItemId=70785141324,1,사과
정*식 ,1,2021.01.14,"곰곰 맛있는 보조개 알뜰사과, 2.5kg, 1봉",실망,사과가 흠있는 사과라해도 통상적으로 비록 흠이 있어도 맛은 괜찮을줄 알았는데 맛(당도)도 없고 완전 썩은것도 있어 대실망입니다,https://www.coupang.com/vp/products/1639256695?itemId=2795492984&vendorItemId=70785141324,1,사과
이*은 ,1,2020.10.25,"곰곰 맛있는 보조개 알뜰사과, 2.5kg, 1봉",,지난번건 싱싱하고 단단하고 맛나더니 이번껀 썩은데도많고 푸석거리고 맛앖야요 ㅡㅡ,https://www.coupang.com/vp/products/1639256695?itemId=2795492984&vendorItemId=70785141324,1,사과
전*정 ,1,2020.07.14,"곰곰 맛있는 보조개 알뜰사과, 2.5kg, 1봉",,"오래돼서 푸석거려요
그냥은 못먹고 갈아서 없애려구요",https://www.coupang.com/vp/products/1639256695?itemId=2795492984&vendorItemId=70785141324,1,사과
이*은 ,1,2020.09.15,"곰곰 맛있는 보조개 알뜰사과, 2.5kg, 1봉",,"쿠팡과일은 아니라는걸다시금깨달음
작고,상처투성이에 맛없음",https://www.coupang.com/vp/products/1639256695?itemId=2795492984&vendorItemId=70785141324,1,사과
박*미 ,1,2020.10.18,"곰곰 맛있는 보조개 알뜰사과, 2.5kg, 1봉",,너무맛없어요....ㅡㅡ곰곰이라믿고산건데 하나도안달고 맛업음 돈아까워요!!!!!!!!!,https://www.coupang.com/vp/products/1639256695?itemId=2795492984&vendorItemId=70785141324,1,사과
김*애 ,1,2021.02.27,"곰곰 맛있는 보조개 알뜰사과, 2.5kg, 1봉",,"정말 물렁하고 멍들고 신겁고....
이렇게 맛없는 사과 드무네요....
하나라도 맛있어야 만회가 되는데 진짜 맛없어요...
맛있는거 찾다가 이것저것 먹어보느라 환불도 못하고
아깝습니다",https://www.coupang.com/vp/products/1639256695?itemId=2795492984&vendorItemId=70785141324,1,사과
유*미 ,1,2021.01.10,"곰곰 맛있는 보조개 알뜰사과, 2.5kg, 1봉",,"크기도 작고 9개중 반이상이 상처가 있네요
맛도 달지도 않고~~",https://www.coupang.com/vp/products/1639256695?itemId=2795492984&vendorItemId=70785141324,1,사과
강*경 ,1,2020.12.30,"곰곰 맛있는 보조개 알뜰사과, 2.5kg, 1봉",,"맛은 그럭저럭
사과 상태는 영 아니었습니다
사과의 반 이상이 멍들어있고
제가 받은 사과만 그런가요?",https://www.coupang.com/vp/products/1639256695?itemId=2795492984&vendorItemId=70785141324,1,사과
최*희 ,1,2021.05.05,"곰곰 맛있는 보조개 알뜰사과, 2.5kg, 1봉",싱거운 무 먹는 느낌.,11개 들엇음. 아무 맛이 안남. 봉지 터져 있고. 1개 천원꼴인데 너무 비싸고 맛 없음.,https://www.coupang.com/vp/products/1639256695?itemId=2795492984&vendorItemId=70785141324,1,사과
민*영 ,1,2021.06.07,"곰곰 맛있는 보조개 알뜰사과, 2.5kg, 1봉",썩어가는 사과를 돈주고 삿네요,"하나는 저렇게 썩었고 나머지도 온군데 다 멍들어 있어요
껍질도 질겨서 깍아먹어야 그나마 먹는데
멍든거 잘라내고 먹을라면 사과 하나 깍아서 반개 먹을수 있네요 짜증나요",https://www.coupang.com/vp/products/1639256695?itemId=2795492984&vendorItemId=70785141324,1,사과
이*주 ,1,2021.05.04,"곰곰 맛있는 보조개 알뜰사과, 2.5kg, 1봉",맛 없습니다. 가루 식감 느껴지는 사과임,"진짜 맛없어요. 가루사과임...단 맛 하나도 없었어요..
다신 안살 것 같습니다.
엄마도 드셔보시고 맹탕이라고 말씀하심.
맨 처음 먹은건 완전 맹탕이었고, 2번째 먹은게 조금 더 나은데 그래도 맛없는 사과임은 변하지 않았어요.
사과 알은 약간 작은편입니다.",https://www.coupang.com/vp/products/1639256695?itemId=2795492984&vendorItemId=70785141324,1,사과
안*임 ,1,2020.12.04,"곰곰 맛있는 보조개 알뜰사과, 2.5kg, 1봉",상처도 많고 중간중간 썩어있기도 해서 쓴맛이 남.,,https://www.coupang.com/vp/products/1639256695?itemId=2795492984&vendorItemId=70785141324,1,사과
신*윤 ,1,2020.06.14,"곰곰 맛있는 보조개 알뜰사과, 2.5kg, 1봉",돈주고 쓰레기를 산 기분이네요.사과가 엉망입니다,,https://www.coupang.com/vp/products/1639256695?itemId=2795492984&vendorItemId=70785141324,1,사과
까까7 ,1,2020.09.30,"곰곰 맛있는 보조개 알뜰사과, 2.5kg, 1봉",무슨맛이냐,맛은그닥,https://www.coupang.com/vp/products/1639256695?itemId=2795492984&vendorItemId=70785141324,1,사과
황*인 ,1,2020.12.19,"곰곰 맛있는 보조개 알뜰사과, 2.5kg, 1봉",멍자국이 너무 많아서 먹을 수가 없네요.,,https://www.coupang.com/vp/products/1639256695?itemId=2795492984&vendorItemId=70785141324,1,사과
이*선 ,1,2020.07.12,"곰곰 맛있는 보조개 알뜰사과, 2.5kg, 1봉",사각한 맛이 아닌 푸석푸석한 맛으로 실망,,https://www.coupang.com/vp/products/1639256695?itemId=2795492984&vendorItemId=70785141324,1,사과
성*림 ,1,2021.06.20,"곰곰 맛있는 보조개 알뜰사과, 2.5kg, 1봉",상한게 좀 있네요 버려야하능 부분이 많아요,,https://www.coupang.com/vp/products/1639256695?itemId=2795492984&vendorItemId=70785141324,1,사과
김*태 ,1,2021.03.05,"곰곰 맛있는 보조개 알뜰사과, 2.5kg, 1봉",너무 심해요 상태..,,https://www.coupang.com/vp/products/1639256695?itemId=2795492984&vendorItemId=70785141324,1,사과
김*정 ,1,2021.05.04,"곰곰 맛있는 보조개 알뜰사과, 2.5kg, 1봉",사과 반이상이 저러면 뭘먹나요ㅜㅜ,,https://www.coupang.com/vp/products/1639256695?itemId=2795492984&vendorItemId=70785141324,1,사과
김*희 ,1,2020.06.11,"곰곰 맛있는 보조개 알뜰사과, 2.5kg, 1봉",,푸석푸석한 식감이예요..ㅠ,https://www.coupang.com/vp/products/1639256695?itemId=2795492984&vendorItemId=70785141324,1,사과
조*영 ,1,2021.01.26,"곰곰 맛있는 보조개 알뜰사과, 2.5kg, 1봉",오래되서 쭈글하고 씨부분 썩은것도 있고 많이작고 맛없음,,https://www.coupang.com/vp/products/1639256695?itemId=2795492984&vendorItemId=70785141324,1,사과
김*진 ,1,2021.01.13,"곰곰 맛있는 보조개 알뜰사과, 2.5kg, 1봉",봉지가 너무약해서 뜯어진건 그렇다치고 ' ',,https://www.coupang.com/vp/products/1639256695?itemId=2795492984&vendorItemId=70785141324,1,사과
정*효 ,1,2021.05.08,"곰곰 맛있는 보조개 알뜰사과, 2.5kg, 1봉",재구매했는데 맛이 별루네요,,https://www.coupang.com/vp/products/1639256695?itemId=2795492984&vendorItemId=70785141324,1,사과
z*g ,1,2020.10.12,"곰곰 맛있는 보조개 알뜰사과, 2.5kg, 1봉",맛이 좋지 않아요,맛이 좋지 않아요,https://www.coupang.com/vp/products/1639256695?itemId=2795492984&vendorItemId=70785141324,1,사과
김*경 ,1,2020.06.30,"곰곰 맛있는 보조개 알뜰사과, 2.5kg, 1봉",,너무 푸석하네요,https://www.coupang.com/vp/products/1639256695?itemId=2795492984&vendorItemId=70785141324,1,사과
윤*성 ,1,2020.12.09,"곰곰 맛있는 보조개 알뜰사과, 2.5kg, 1봉",먹다가 살짝 맛이 이상해서 봤더니 중간에 곰팡이가...,,https://www.coupang.com/vp/products/1639256695?itemId=2795492984&vendorItemId=70785141324,1,사과
장*영 ,1,2021.05.06,"곰곰 맛있는 보조개 알뜰사과, 2.5kg, 1봉",깍았더니 온토 멍든것뿐 ㅠㅠ,,https://www.coupang.com/vp/products/1639256695?itemId=2795492984&vendorItemId=70785141324,1,사과
문*현 ,1,2020.06.29,"곰곰 맛있는 보조개 알뜰사과, 2.5kg, 1봉",생각보다 사과에 상처가많네요,,https://www.coupang.com/vp/products/1639256695?itemId=2795492984&vendorItemId=70785141324,1,사과
장*인 ,1,2021.02.12,"곰곰 맛있는 보조개 알뜰사과, 2.5kg, 1봉",,"이런걸 돈받고 팔다니.
양심이 없다",https://www.coupang.com/vp/products/1639256695?itemId=2795492984&vendorItemId=70785141324,1,사과
김*현 ,1,2020.11.04,"곰곰 맛있는 보조개 알뜰사과, 2.5kg, 1봉",,제게 온건 정말 맛없어요.ㅜㅜ,https://www.coupang.com/vp/products/1639256695?itemId=2795492984&vendorItemId=70785141324,1,사과
이*정 ,1,2021.06.20,"곰곰 맛있는 보조개 알뜰사과, 2.5kg, 1봉",딱3개만 멀쩡하네요 썩거나 흠이거나 이게 맛있는건가요,,https://www.coupang.com/vp/products/1639256695?itemId=2795492984&vendorItemId=70785141324,1,사과
심*원 ,1,2021.04.08,"곰곰 맛있는 보조개 알뜰사과, 2.5kg, 1봉",퍼석하고 달지않고 사이즈도 넘작아요,,https://www.coupang.com/vp/products/1639256695?itemId=2795492984&vendorItemId=70785141324,1,사과
박*영 ,1,2021.03.23,"곰곰 맛있는 보조개 알뜰사과, 2.5kg, 1봉",아무리 흠집 사과라고 하지만 팔수없는 물건을 파네요,,https://www.coupang.com/vp/products/1639256695?itemId=2795492984&vendorItemId=70785141324,1,사과
안*원 ,1,2020.06.15,"곰곰 맛있는 보조개 알뜰사과, 2.5kg, 1봉",푸석푸석한 사과에 실망!,"싼맛에 샀는데 너무 푸석푸석하다...
실망!",https://www.coupang.com/vp/products/1639256695?itemId=2795492984&vendorItemId=70785141324,1,사과
신*지 ,1,2020.07.01,"곰곰 맛있는 보조개 알뜰사과, 2.5kg, 1봉",,푸석푸석해요 ㅠㅠㅠㅠㅠ,https://www.coupang.com/vp/products/1639256695?itemId=2795492984&vendorItemId=70785141324,1,사과
신*진 ,1,2021.05.23,"곰곰 맛있는 보조개 알뜰사과, 2.5kg, 1봉",달지않아요 퍼석해요,,https://www.coupang.com/vp/products/1639256695?itemId=2795492984&vendorItemId=70785141324,1,사과
김*홍 ,1,2020.12.22,"곰곰 맛있는 보조개 알뜰사과, 2.5kg, 1봉",,진짜 맛 없습니다,https://www.coupang.com/vp/products/1639256695?itemId=2795492984&vendorItemId=70785141324,1,사과
이*훈 ,1,2020.10.24,"곰곰 맛있는 보조개 알뜰사과, 2.5kg, 1봉",작고 푸석해서 너무 싫어요 이게 13000원이라니!!!,너무 맛이없어요..ㅜ 푸석푸석한거 넘 싫어!,https://www.coupang.com/vp/products/1639256695?itemId=2795492984&vendorItemId=70785141324,1,사과
서*선 ,1,2020.12.07,"곰곰 맛있는 보조개 알뜰사과, 2.5kg, 1봉",,"이거절때 사먹지 마세요~
진짜 짱납니다",https://www.coupang.com/vp/products/1639256695?itemId=2795492984&vendorItemId=70785141324,1,사과
이*훈 ,1,2021.06.11,"곰곰 맛있는 보조개 알뜰사과, 2.5kg, 1봉",구입안해요,,https://www.coupang.com/vp/products/1639256695?itemId=2795492984&vendorItemId=70785141324,1,사과
고맙습돠 ,1,2020.09.20,"곰곰 맛있는 보조개 알뜰사과, 2.5kg, 1봉",멍..,"보조개 사과랑
멍든 사과의 구분을..",https://www.coupang.com/vp/products/1639256695?itemId=2795492984&vendorItemId=70785141324,1,사과
김*영 ,1,2021.02.21,"곰곰 맛있는 보조개 알뜰사과, 2.5kg, 1봉",맹탕 완전 맹탕,,https://www.coupang.com/vp/products/1639256695?itemId=2795492984&vendorItemId=70785141324,1,사과
이*준 ,1,2021.01.19,"곰곰 맛있는 보조개 알뜰사과, 2.5kg, 1봉",,아무리 알뜰사과 라도 이건 좀 너무한거 같네요,https://www.coupang.com/vp/products/1639256695?itemId=2795492984&vendorItemId=70785141324,1,사과
