writer,score,data,product_name,headline,content,url,rank,search_keyword
김*석 ,3,2020.05.14,"KY I&D 9000 캐치캐치 가방캐치볼, 랜덤 발송, 1세트",,,https://www.coupang.com/vp/products/105094932?itemId=318474224&vendorItemId=3781604222,5,야구공
이*준 ,1,2019.11.15,"에버라스트 아동용 세이프 폼 야구배트 + 야구공 세트 EVBB-3000, 2kg, 레드",,"쿠팡 이용 약관에 근거할 때 이미 주문완료된 건에 대해 소비자에게 사전안내도 없고 양해도 구하지 않은 채 주문취소와 반품 및 환불을 소비자에게 즉시 통지없이 임의로 하는것은 약관위반 행위가 아닐까요.

쿠팡 이용 약관 제 4 조 (서비스의 제공 및 변경)
③ 회사가 제공하기로 회원과 계약을 체결한 서비스의 내용을 상품 등의 품절 또는 기술적 사양의 변경 등의 사유로 변경할 경우에는 그 사유를 회원에게 통지 가능한 주소로 즉시 통지합니다.

마지막으로, 고생하시는 쿠팡배송로켓맨들에게 감사의 말씀드립니다.",https://www.coupang.com/vp/products/35291590?itemId=130872367&vendorItemId=3274705771&pickType=COU_PICK,6,야구공
J*A ,3,2020.03.13,"에버라스트 아동용 세이프 폼 야구배트 + 야구공 세트 EVBB-3000, 2kg, 블루",,11개월 아기가 막대기를 하도 좋아해서 안전한 장난감 찾다 사줬는데 아직은 잘 못잡고 놀아요 ㅋㅋㅋ,https://www.coupang.com/vp/products/35291590?itemId=130872367&vendorItemId=3274705771&pickType=COU_PICK,6,야구공
이*라 ,3,2018.04.22,"에버라스트 아동용 세이프 폼 야구배트 + 야구공 세트 EVBB-3000, 2kg, 레드",,장난감이에요.....,https://www.coupang.com/vp/products/35291590?itemId=130872367&vendorItemId=3274705771&pickType=COU_PICK,6,야구공
이*범 ,3,2019.10.22,"에버라스트 아동용 세이프 폼 야구배트 + 야구공 세트 EVBB-3000, 2kg, 레드",,아이들 막 사용하기 좋아요.,https://www.coupang.com/vp/products/35291590?itemId=130872367&vendorItemId=3274705771&pickType=COU_PICK,6,야구공
김*수 ,3,2020.10.27,"에버라스트 아동용 세이프 폼 야구배트 + 야구공 세트 EVBB-3000, 2kg, 블루",,공 색깔이 점점 누렇게 변합니다.,https://www.coupang.com/vp/products/35291590?itemId=130872367&vendorItemId=3274705771&pickType=COU_PICK,6,야구공
전*민 ,3,2019.06.02,"에버라스트 아동용 세이프 폼 야구배트 + 야구공 세트 EVBB-3000, 2kg, 블루",그냥 그래요,,https://www.coupang.com/vp/products/35291590?itemId=130872367&vendorItemId=3274705771&pickType=COU_PICK,6,야구공
구*희 ,3,2020.05.10,"에버라스트 아동용 세이프 폼 야구배트 + 야구공 세트 EVBB-3000, 2kg, 레드",,전에 샀던배트랑 길이 차이가 좀 있네요ㅠㅠ,https://www.coupang.com/vp/products/35291590?itemId=130872367&vendorItemId=3274705771&pickType=COU_PICK,6,야구공
psk120 ,3,2021.04.03,"에버라스트 아동용 세이프 폼 야구배트 + 야구공 세트 EVBB-3000, 2kg, 레드",가격대비 좋아요,아이들이 좋아해요,https://www.coupang.com/vp/products/35291590?itemId=130872367&vendorItemId=3274705771&pickType=COU_PICK,6,야구공
김*선 ,3,2020.03.29,"에버라스트 아동용 세이프 폼 야구배트 + 야구공 세트 EVBB-3000, 2kg, 블루",,"공이 푹신해서 좋은데
때가 넘 잘타요",https://www.coupang.com/vp/products/35291590?itemId=130872367&vendorItemId=3274705771&pickType=COU_PICK,6,야구공
장*혜 ,3,2021.05.08,"에버라스트 아동용 세이프 폼 야구배트 + 야구공 세트 EVBB-3000, 2kg, 블루",,,https://www.coupang.com/vp/products/35291590?itemId=130872367&vendorItemId=3274705771&pickType=COU_PICK,6,야구공
박*정 ,3,2020.11.17,"에버라스트 아동용 세이프 폼 야구배트 + 야구공 세트 EVBB-3000, 2kg, 레드",,,https://www.coupang.com/vp/products/35291590?itemId=130872367&vendorItemId=3274705771&pickType=COU_PICK,6,야구공
나무가좋아 ,3,2020.09.18,"에버라스트 아동용 세이프 폼 야구배트 + 야구공 세트 EVBB-3000, 2kg, 블루",,,https://www.coupang.com/vp/products/35291590?itemId=130872367&vendorItemId=3274705771&pickType=COU_PICK,6,야구공
삐까쮸 ,3,2020.09.09,"에버라스트 아동용 세이프 폼 야구배트 + 야구공 세트 EVBB-3000, 2kg, 블루",,,https://www.coupang.com/vp/products/35291590?itemId=130872367&vendorItemId=3274705771&pickType=COU_PICK,6,야구공
박*애 ,3,2020.09.03,"에버라스트 아동용 세이프 폼 야구배트 + 야구공 세트 EVBB-3000, 2kg, 블루",,,https://www.coupang.com/vp/products/35291590?itemId=130872367&vendorItemId=3274705771&pickType=COU_PICK,6,야구공
탈*원 ,3,2020.08.05,"에버라스트 아동용 세이프 폼 야구배트 + 야구공 세트 EVBB-3000, 2kg, 블루",,,https://www.coupang.com/vp/products/35291590?itemId=130872367&vendorItemId=3274705771&pickType=COU_PICK,6,야구공
윤*섭 ,3,2020.07.20,"에버라스트 아동용 세이프 폼 야구배트 + 야구공 세트 EVBB-3000, 2kg, 블루",,,https://www.coupang.com/vp/products/35291590?itemId=130872367&vendorItemId=3274705771&pickType=COU_PICK,6,야구공
김*영 ,3,2020.05.11,"에버라스트 아동용 세이프 폼 야구배트 + 야구공 세트 EVBB-3000, 2kg, 블루",,,https://www.coupang.com/vp/products/35291590?itemId=130872367&vendorItemId=3274705771&pickType=COU_PICK,6,야구공
김희주임 ,3,2020.03.29,"에버라스트 아동용 세이프 폼 야구배트 + 야구공 세트 EVBB-3000, 2kg, 레드",,,https://www.coupang.com/vp/products/35291590?itemId=130872367&vendorItemId=3274705771&pickType=COU_PICK,6,야구공
장*미 ,3,2019.06.05,"에버라스트 아동용 세이프 폼 야구배트 + 야구공 세트 EVBB-3000, 2kg, 블루",,,https://www.coupang.com/vp/products/35291590?itemId=130872367&vendorItemId=3274705771&pickType=COU_PICK,6,야구공
